Network_ID,Network_Identifiers,class,genus,species,interaction_type,definition_of_interaction,edge_wt_type,geographical_location,population_type,data_record_technique,time_span,resolution,time_span_per_day,attributes_available,is_connected,num_components,nodes,edges,network.density,highest.degree,avg.degree,std.degree.node,CV.degree,skewness,avg.node.strength,std.node.strength,CV.node.strength,avg.edge.strength,std.edge.strength,CV.edge.strength,highest.node.strength,deg.assort,avg.betw.centrality,std.betw.centrality,highest.betw,avg.betw.centrality.weighted,std.betw.centrality.weighted,highest.betw.weighted,clustering,clustering.weighted,transitivity,Q,Qmax,Qrel,cohesion,num.modules,avg.modsize,diameter,Citation
Network_111.graphml,ant mersch col3 day30,Insecta,Camponotus,fellah,physical_contact,A pair of ants was considered to interact when the front end of one ant was located within the trapezoidal shape representing the other ant.,frequency,"University of Lausanne, Laussane, Switzerland",captive,video,1day,0.5 sec,24 hours,"body size, age, social group, number of interactions/visits",TRUE,1,115,4321,0.659,104,75.148,18.666,0.248,-1.398,516.452,200.581,0.388,6.872,7.754,1.128,1047,0.033,0.003,0.002,0.019050399,0.009,0.006,0.032727773,0.77,0.027,0.765,0.122,0.493,0.247,0.629019604,2,57.5,3,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090-1093."
Network_112.graphml,ant mersch col3 day31,Insecta,Camponotus,fellah,physical_contact,A pair of ants was considered to interact when the front end of one ant was located within the trapezoidal shape representing the other ant.,frequency,"University of Lausanne, Laussane, Switzerland",captive,video,1day,0.5 sec,24 hours,"body size, age, social group, number of interactions/visits",TRUE,1,115,4161,0.635,106,72.365,17.24,0.238,-1.016,421.722,195.144,0.463,5.828,6.688,1.148,1059,0.025,0.003,0.002,0.011142059,0.008,0.006,0.02710273,0.747,0.03,0.737,0.142,0.498,0.285,0.644558533,2,57.5,3,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090-1093."
Network_113.graphml,ant mersch col3 day32,Insecta,Camponotus,fellah,physical_contact,A pair of ants was considered to interact when the front end of one ant was located within the trapezoidal shape representing the other ant.,frequency,"University of Lausanne, Laussane, Switzerland",captive,video,1day,0.5 sec,24 hours,"body size, age, social group, number of interactions/visits",TRUE,1,95,2990,0.67,86,62.947,14.77,0.235,-1.086,439.832,195.623,0.445,6.987,7.946,1.137,1058,-0.016,0.004,0.002,0.018363021,0.01,0.007,0.035249662,0.761,0.046,0.76,0.118,0.5,0.236,0.618398268,2,47.5,3,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090-1093."
Network_114.graphml,ant mersch col3 day33,Insecta,Camponotus,fellah,physical_contact,A pair of ants was considered to interact when the front end of one ant was located within the trapezoidal shape representing the other ant.,frequency,"University of Lausanne, Laussane, Switzerland",captive,video,1day,0.5 sec,24 hours,"body size, age, social group, number of interactions/visits",TRUE,1,95,2977,0.667,86,62.674,14.613,0.233,-1.064,460.168,182.097,0.396,7.342,8.09,1.102,908,-0.004,0.004,0.002,0.01127656,0.011,0.007,0.033706296,0.772,0.061,0.762,0.128,0.5,0.256,0.628481885,2,47.5,3,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090-1093."
Network_115.graphml,ant mersch col3 day34,Insecta,Camponotus,fellah,physical_contact,A pair of ants was considered to interact when the front end of one ant was located within the trapezoidal shape representing the other ant.,frequency,"University of Lausanne, Laussane, Switzerland",captive,video,1day,0.5 sec,24 hours,"body size, age, social group, number of interactions/visits",TRUE,1,95,3348,0.75,89,70.484,14.911,0.212,-2.034,551.053,209.152,0.38,7.818,8.169,1.045,1205,-0.032,0.003,0.003,0.023573698,0.011,0.009,0.04177457,0.827,0.062,0.827,0.093,0.499,0.186,0.593789109,2,47.5,3,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090-1093."
Network_116.graphml,ant mersch col3 day35,Insecta,Camponotus,fellah,physical_contact,A pair of ants was considered to interact when the front end of one ant was located within the trapezoidal shape representing the other ant.,frequency,"University of Lausanne, Laussane, Switzerland",captive,video,1day,0.5 sec,24 hours,"body size, age, social group, number of interactions/visits",TRUE,1,95,2915,0.653,86,61.368,16.113,0.263,-1.2,460.547,186.142,0.404,7.505,8.45,1.126,1022,0.02,0.004,0.003,0.013197996,0.011,0.008,0.03527266,0.79,0.053,0.772,0.135,0.5,0.27,0.634652725,2,47.5,3,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090-1093."
Network_117.graphml,ant mersch col3 day36,Insecta,Camponotus,fellah,physical_contact,A pair of ants was considered to interact when the front end of one ant was located within the trapezoidal shape representing the other ant.,frequency,"University of Lausanne, Laussane, Switzerland",captive,video,1day,0.5 sec,24 hours,"body size, age, social group, number of interactions/visits",TRUE,1,94,3028,0.693,86,64.426,14.343,0.223,-1.095,457.426,183.677,0.402,7.1,7.266,1.023,1123,-0.005,0.003,0.002,0.009635912,0.011,0.007,0.03400149,0.791,0.061,0.779,0.115,0.513,0.224,0.602043182,3,31.33333333,2,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090-1093."
Network_118.graphml,ant mersch col3 day37,Insecta,Camponotus,fellah,physical_contact,A pair of ants was considered to interact when the front end of one ant was located within the trapezoidal shape representing the other ant.,frequency,"University of Lausanne, Laussane, Switzerland",captive,video,1day,0.5 sec,24 hours,"body size, age, social group, number of interactions/visits",TRUE,1,94,2969,0.679,86,63.17,16.591,0.263,-1.561,504.234,235.706,0.467,7.982,9.004,1.128,1622,0.046,0.004,0.003,0.023835482,0.012,0.009,0.041844708,0.804,0.034,0.798,0.113,0.495,0.228,0.618392113,2,47,3,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090-1093."
Network_119.graphml,ant mersch col3 day38,Insecta,Camponotus,fellah,physical_contact,A pair of ants was considered to interact when the front end of one ant was located within the trapezoidal shape representing the other ant.,frequency,"University of Lausanne, Laussane, Switzerland",captive,video,1day,0.5 sec,24 hours,"body size, age, social group, number of interactions/visits",TRUE,1,94,2985,0.683,86,63.511,15.246,0.24,-1.378,493.298,216.251,0.438,7.767,8.674,1.117,1015,-0.022,0.003,0.002,0.012303181,0.011,0.009,0.051778795,0.801,0.033,0.783,0.125,0.5,0.25,0.625457074,2,47,3,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090-1093."
Network_120.graphml,ant mersch col3 day39,Insecta,Camponotus,fellah,physical_contact,A pair of ants was considered to interact when the front end of one ant was located within the trapezoidal shape representing the other ant.,frequency,"University of Lausanne, Laussane, Switzerland",captive,video,1day,0.5 sec,24 hours,"body size, age, social group, number of interactions/visits",TRUE,1,93,3059,0.715,89,65.785,13.067,0.199,-0.829,480.086,219.73,0.458,7.298,8.236,1.129,1299,-0.046,0.003,0.002,0.008084523,0.011,0.007,0.032581112,0.797,0.043,0.784,0.112,0.498,0.225,0.613925618,2,46.5,2,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090-1093."
Network_121.graphml,ant mersch col3 day40,Insecta,Camponotus,fellah,physical_contact,A pair of ants was considered to interact when the front end of one ant was located within the trapezoidal shape representing the other ant.,frequency,"University of Lausanne, Laussane, Switzerland",captive,video,1day,0.5 sec,24 hours,"body size, age, social group, number of interactions/visits",TRUE,1,93,2853,0.667,83,61.355,14.608,0.238,-1.018,441.785,186.085,0.421,7.2,7.737,1.075,1031,0.003,0.004,0.002,0.012399597,0.011,0.008,0.034318611,0.781,0.06,0.765,0.126,0.5,0.252,0.626006066,2,46.5,3,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090-1093."
Network_122.graphml,ant mersch col3 day41,Insecta,Camponotus,fellah,physical_contact,A pair of ants was considered to interact when the front end of one ant was located within the trapezoidal shape representing the other ant.,frequency,"University of Lausanne, Laussane, Switzerland",captive,video,1day,0.5 sec,24 hours,"body size, age, social group, number of interactions/visits",TRUE,1,94,2992,0.685,87,63.66,15.533,0.244,-1.502,490.681,216.651,0.442,7.708,8.638,1.121,1195,-0.009,0.003,0.002,0.013539795,0.011,0.008,0.042019596,0.803,0.048,0.786,0.117,0.5,0.234,0.617308708,2,47,3,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090-1093."
Network_123.graphml,ant mersch col4 day01,Insecta,Camponotus,fellah,physical_contact,A pair of ants was considered to interact when the front end of one ant was located within the trapezoidal shape representing the other ant.,frequency,"University of Lausanne, Laussane, Switzerland",captive,video,1day,0.5 sec,24 hours,"body size, age, social group, number of interactions/visits",TRUE,1,102,4269,0.829,101,83.706,10.499,0.125,-1.152,528.451,200.432,0.379,6.313,6.111,0.968,1387,-0.046,0.002,0.001,0.003178841,0.009,0.007,0.030376298,0.859,0.046,0.856,0.058,0.496,0.117,0.562191761,2,51,2,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090-1093."
Network_124.graphml,ant mersch col4 day02,Insecta,Camponotus,fellah,physical_contact,A pair of ants was considered to interact when the front end of one ant was located within the trapezoidal shape representing the other ant.,frequency,"University of Lausanne, Laussane, Switzerland",captive,video,1day,0.5 sec,24 hours,"body size, age, social group, number of interactions/visits",TRUE,1,102,4149,0.805,99,81.353,12.029,0.148,-1.666,539.863,194.54,0.36,6.636,6.652,1.002,1367,-0.045,0.002,0.001,0.004398047,0.01,0.007,0.031434709,0.848,0.055,0.843,0.063,0.5,0.126,0.563026828,2,51,2,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090-1093."
Network_125.graphml,ant mersch col4 day03,Insecta,Camponotus,fellah,physical_contact,A pair of ants was considered to interact when the front end of one ant was located within the trapezoidal shape representing the other ant.,frequency,"University of Lausanne, Laussane, Switzerland",captive,video,1day,0.5 sec,24 hours,"body size, age, social group, number of interactions/visits",TRUE,1,102,4055,0.787,99,79.51,12.744,0.16,-2.055,482.51,178.793,0.371,6.069,6.059,0.998,1206,-0.01,0.002,0.001,0.005384961,0.009,0.007,0.028386042,0.838,0.065,0.833,0.075,0.499,0.15,0.575584277,2,51,3,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090-1093."
Network_126.graphml,ant mersch col4 day04,Insecta,Camponotus,fellah,physical_contact,A pair of ants was considered to interact when the front end of one ant was located within the trapezoidal shape representing the other ant.,frequency,"University of Lausanne, Laussane, Switzerland",captive,video,1day,0.5 sec,24 hours,"body size, age, social group, number of interactions/visits",TRUE,1,102,3754,0.729,97,73.608,15.174,0.206,-2.223,467.039,172.125,0.369,6.345,6.803,1.072,911,0.069,0.003,0.002,0.014090488,0.01,0.006,0.028006936,0.812,0.047,0.805,0.092,0.477,0.193,0.615342322,2,51,3,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090-1093."
Network_127.graphml,ant mersch col4 day05,Insecta,Camponotus,fellah,physical_contact,A pair of ants was considered to interact when the front end of one ant was located within the trapezoidal shape representing the other ant.,frequency,"University of Lausanne, Laussane, Switzerland",captive,video,1day,0.5 sec,24 hours,"body size, age, social group, number of interactions/visits",TRUE,1,102,3929,0.763,97,77.039,14.714,0.191,-2.169,484.294,198.771,0.41,6.286,5.892,0.937,1365,0.047,0.002,0.001,0.008867098,0.01,0.008,0.045700647,0.832,0.089,0.827,0.075,0.493,0.152,0.582338103,2,51,3,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090-1093."
Network_128.graphml,ant mersch col4 day06,Insecta,Camponotus,fellah,physical_contact,A pair of ants was considered to interact when the front end of one ant was located within the trapezoidal shape representing the other ant.,frequency,"University of Lausanne, Laussane, Switzerland",captive,video,1day,0.5 sec,24 hours,"body size, age, social group, number of interactions/visits",TRUE,1,102,3903,0.758,96,76.529,15.6,0.204,-2.158,498.078,209.105,0.42,6.508,6.349,0.976,1284,0.048,0.002,0.002,0.010798858,0.01,0.008,0.04017475,0.839,0.078,0.833,0.084,0.492,0.171,0.59211182,2,51,3,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090-1093."
Network_129.graphml,ant mersch col4 day07,Insecta,Camponotus,fellah,physical_contact,A pair of ants was considered to interact when the front end of one ant was located within the trapezoidal shape representing the other ant.,frequency,"University of Lausanne, Laussane, Switzerland",captive,video,1day,0.5 sec,24 hours,"body size, age, social group, number of interactions/visits",TRUE,1,102,3797,0.737,97,74.451,15.85,0.213,-1.955,491.843,204.532,0.416,6.606,6.853,1.037,1083,0.039,0.003,0.002,0.01221002,0.01,0.007,0.032197876,0.82,0.033,0.815,0.082,0.5,0.164,0.581511567,2,51,3,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090-1093."
Network_130.graphml,ant mersch col4 day08,Insecta,Camponotus,fellah,physical_contact,A pair of ants was considered to interact when the front end of one ant was located within the trapezoidal shape representing the other ant.,frequency,"University of Lausanne, Laussane, Switzerland",captive,video,1day,0.5 sec,24 hours,"body size, age, social group, number of interactions/visits",TRUE,1,102,3857,0.749,97,75.627,14.434,0.191,-1.554,486.353,199.06,0.409,6.431,6.578,1.023,1225,-0.007,0.003,0.001,0.00781028,0.009,0.007,0.046294861,0.818,0.067,0.811,0.084,0.499,0.168,0.585432581,2,51,3,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090-1093."
Network_131.graphml,ant mersch col4 day09,Insecta,Camponotus,fellah,physical_contact,A pair of ants was considered to interact when the front end of one ant was located within the trapezoidal shape representing the other ant.,frequency,"University of Lausanne, Laussane, Switzerland",captive,video,1day,0.5 sec,24 hours,"body size, age, social group, number of interactions/visits",TRUE,1,102,3988,0.774,98,78.196,15.406,0.197,-1.749,636.255,281.677,0.443,8.137,8.512,1.046,1521,0.013,0.002,0.001,0.005895248,0.011,0.009,0.04205429,0.848,0.061,0.843,0.074,0.5,0.148,0.573721739,2,51,3,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090-1093."
Network_132.graphml,ant mersch col4 day10,Insecta,Camponotus,fellah,physical_contact,A pair of ants was considered to interact when the front end of one ant was located within the trapezoidal shape representing the other ant.,frequency,"University of Lausanne, Laussane, Switzerland",captive,video,1day,0.5 sec,24 hours,"body size, age, social group, number of interactions/visits",TRUE,1,102,4036,0.784,99,79.137,14.325,0.181,-1.881,569.608,232.123,0.408,7.198,7.305,1.015,1162,-0.015,0.002,0.001,0.005057577,0.01,0.009,0.051696913,0.845,0.058,0.839,0.067,0.5,0.134,0.567395287,2,51,2,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090-1093."
Network_133.graphml,ant mersch col4 day11,Insecta,Camponotus,fellah,physical_contact,A pair of ants was considered to interact when the front end of one ant was located within the trapezoidal shape representing the other ant.,frequency,"University of Lausanne, Laussane, Switzerland",captive,video,1day,0.5 sec,24 hours,"body size, age, social group, number of interactions/visits",TRUE,1,102,3592,0.697,98,70.431,14.469,0.205,-0.707,499.784,223.877,0.448,7.096,7.624,1.074,1315,-0.046,0.003,0.002,0.008745288,0.01,0.007,0.036136284,0.773,0.041,0.763,0.097,0.496,0.196,0.601339484,2,51,2,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090-1093."
Network_134.graphml,ant mersch col4 day12,Insecta,Camponotus,fellah,physical_contact,A pair of ants was considered to interact when the front end of one ant was located within the trapezoidal shape representing the other ant.,frequency,"University of Lausanne, Laussane, Switzerland",captive,video,1day,0.5 sec,24 hours,"body size, age, social group, number of interactions/visits",TRUE,1,73,2067,0.787,70,56.63,10.18,0.18,-2.601,406.548,157.305,0.387,7.179,7.538,1.05,770,-0.019,0.003,0.002,0.017763751,0.014,0.012,0.049021034,0.843,0.061,0.839,0.059,0.624,0.095,0.434447108,3,24.33333333,3,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090-1093."
Network_135.graphml,ant mersch col4 day13,Insecta,Camponotus,fellah,physical_contact,A pair of ants was considered to interact when the front end of one ant was located within the trapezoidal shape representing the other ant.,frequency,"University of Lausanne, Laussane, Switzerland",captive,video,1day,0.5 sec,24 hours,"body size, age, social group, number of interactions/visits",TRUE,1,73,2119,0.806,70,58.055,9.967,0.172,-2.797,388.986,147.927,0.38,6.7,7.445,1.111,746,-0.013,0.003,0.002,0.012222446,0.013,0.011,0.065763631,0.856,0.042,0.853,0.048,0.489,0.098,0.559224071,2,36.5,3,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090-1093."
Network_136.graphml,ant mersch col4 day14,Insecta,Camponotus,fellah,physical_contact,A pair of ants was considered to interact when the front end of one ant was located within the trapezoidal shape representing the other ant.,frequency,"University of Lausanne, Laussane, Switzerland",captive,video,1day,0.5 sec,24 hours,"body size, age, social group, number of interactions/visits",TRUE,1,73,2107,0.802,71,57.726,9.566,0.166,-3.036,416.137,162.422,0.39,7.209,8.001,1.11,820,-0.026,0.003,0.002,0.013440684,0.014,0.013,0.059986608,0.845,0.044,0.846,0.051,0.473,0.108,0.578073364,2,36.5,3,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090-1093."
Network_137.graphml,ant mersch col4 day15,Insecta,Camponotus,fellah,physical_contact,A pair of ants was considered to interact when the front end of one ant was located within the trapezoidal shape representing the other ant.,frequency,"University of Lausanne, Laussane, Switzerland",captive,video,1day,0.5 sec,24 hours,"body size, age, social group, number of interactions/visits",TRUE,1,73,2144,0.816,70,58.74,9.616,0.164,-3.22,414.822,164.154,0.396,7.062,7.571,1.072,973,-0.023,0.003,0.002,0.015272651,0.014,0.012,0.075681221,0.863,0.055,0.859,0.048,0.488,0.098,0.560165298,2,36.5,3,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090-1093."
Network_138.graphml,ant mersch col4 day16,Insecta,Camponotus,fellah,physical_contact,A pair of ants was considered to interact when the front end of one ant was located within the trapezoidal shape representing the other ant.,frequency,"University of Lausanne, Laussane, Switzerland",captive,video,1day,0.5 sec,24 hours,"body size, age, social group, number of interactions/visits",TRUE,1,73,2095,0.797,70,57.397,9.994,0.174,-2.378,409.863,158.169,0.386,7.141,7.616,1.067,835,-0.062,0.003,0.002,0.018449732,0.015,0.015,0.083047895,0.853,0.074,0.846,0.063,0.498,0.127,0.565157694,2,36.5,3,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090-1093."
Network_139.graphml,ant mersch col4 day17,Insecta,Camponotus,fellah,physical_contact,A pair of ants was considered to interact when the front end of one ant was located within the trapezoidal shape representing the other ant.,frequency,"University of Lausanne, Laussane, Switzerland",captive,video,1day,0.5 sec,24 hours,"body size, age, social group, number of interactions/visits",TRUE,1,73,2089,0.795,69,57.233,9.263,0.162,-2.576,383.041,140.327,0.366,6.693,7.059,1.055,900,-0.014,0.003,0.001,0.009912857,0.013,0.011,0.049529051,0.841,0.083,0.837,0.057,0.483,0.118,0.573478899,2,36.5,2,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090-1093."
Network_140.graphml,ant mersch col4 day18,Insecta,Camponotus,fellah,physical_contact,A pair of ants was considered to interact when the front end of one ant was located within the trapezoidal shape representing the other ant.,frequency,"University of Lausanne, Laussane, Switzerland",captive,video,1day,0.5 sec,24 hours,"body size, age, social group, number of interactions/visits",TRUE,1,73,2022,0.769,68,55.397,11.637,0.21,-2.377,406.548,162.476,0.4,7.339,7.589,1.034,971,0.053,0.003,0.003,0.01640514,0.015,0.014,0.091002995,0.851,0.075,0.846,0.07,0.481,0.146,0.589023539,2,36.5,3,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090-1093."
Network_141.graphml,ant mersch col4 day19,Insecta,Camponotus,fellah,physical_contact,A pair of ants was considered to interact when the front end of one ant was located within the trapezoidal shape representing the other ant.,frequency,"University of Lausanne, Laussane, Switzerland",captive,video,1day,0.5 sec,24 hours,"body size, age, social group, number of interactions/visits",TRUE,1,73,2041,0.777,68,55.918,10.752,0.192,-2.195,406.575,150.299,0.37,7.271,7.472,1.028,884,-0.006,0.003,0.002,0.00882559,0.014,0.012,0.053912753,0.84,0.082,0.836,0.054,0.475,0.114,0.579125892,2,36.5,2,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090-1093."
Network_142.graphml,ant mersch col4 day20,Insecta,Camponotus,fellah,physical_contact,A pair of ants was considered to interact when the front end of one ant was located within the trapezoidal shape representing the other ant.,frequency,"University of Lausanne, Laussane, Switzerland",captive,video,1day,0.5 sec,24 hours,"body size, age, social group, number of interactions/visits",TRUE,1,73,2184,0.831,70,59.836,8.455,0.141,-3.03,422.329,141.785,0.336,7.058,6.935,0.983,858,-0.013,0.002,0.001,0.006955877,0.014,0.012,0.053813689,0.867,0.07,0.864,0.048,0.497,0.097,0.550820645,2,36.5,2,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090-1093."
Network_143.graphml,ant mersch col4 day21,Insecta,Camponotus,fellah,physical_contact,A pair of ants was considered to interact when the front end of one ant was located within the trapezoidal shape representing the other ant.,frequency,"University of Lausanne, Laussane, Switzerland",captive,video,1day,0.5 sec,24 hours,"body size, age, social group, number of interactions/visits",TRUE,1,73,2120,0.807,69,58.082,9.488,0.163,-2.205,432.411,163.717,0.379,7.445,7.61,1.022,891,-0.038,0.003,0.001,0.007094495,0.015,0.014,0.065633155,0.854,0.077,0.849,0.055,0.496,0.111,0.55849241,2,36.5,2,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090-1093."
Network_144.graphml,ant mersch col4 day22,Insecta,Camponotus,fellah,physical_contact,A pair of ants was considered to interact when the front end of one ant was located within the trapezoidal shape representing the other ant.,frequency,"University of Lausanne, Laussane, Switzerland",captive,video,1day,0.5 sec,24 hours,"body size, age, social group, number of interactions/visits",TRUE,1,55,1234,0.831,54,44.873,7.628,0.17,-3.066,371.2,132.702,0.357,8.272,8.581,1.037,663,-0.075,0.003,0.002,0.012694591,0.022,0.026,0.113546079,0.882,0.056,0.876,0.035,0.604,0.058,0.431926062,3,18.33333333,2,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090-1093."
Network_145.graphml,ant mersch col4 day23,Insecta,Camponotus,fellah,physical_contact,A pair of ants was considered to interact when the front end of one ant was located within the trapezoidal shape representing the other ant.,frequency,"University of Lausanne, Laussane, Switzerland",captive,video,1day,0.5 sec,24 hours,"body size, age, social group, number of interactions/visits",TRUE,1,55,1228,0.827,52,44.655,7.955,0.178,-3.108,329.891,120.624,0.366,7.388,7.276,0.985,666,-0.071,0.003,0.003,0.014229067,0.02,0.017,0.07472589,0.882,0.087,0.877,0.04,0.492,0.081,0.5472257,2,27.5,2,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090-1093."
Network_146.graphml,ant mersch col4 day24,Insecta,Camponotus,fellah,physical_contact,A pair of ants was considered to interact when the front end of one ant was located within the trapezoidal shape representing the other ant.,frequency,"University of Lausanne, Laussane, Switzerland",captive,video,1day,0.5 sec,24 hours,"body size, age, social group, number of interactions/visits",TRUE,1,55,1167,0.786,51,42.436,9.123,0.215,-3.032,348.218,135.671,0.39,8.206,8.854,1.079,610,-0.04,0.004,0.005,0.02743152,0.022,0.024,0.144123772,0.868,0.074,0.86,0.06,0.49,0.122,0.569842072,2,27.5,2,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090-1093."
Network_147.graphml,ant mersch col4 day25,Insecta,Camponotus,fellah,physical_contact,A pair of ants was considered to interact when the front end of one ant was located within the trapezoidal shape representing the other ant.,frequency,"University of Lausanne, Laussane, Switzerland",captive,video,1day,0.5 sec,24 hours,"body size, age, social group, number of interactions/visits",TRUE,1,55,1204,0.811,52,43.782,8.09,0.185,-2.563,362.436,140.287,0.387,8.278,8.404,1.015,716,-0.064,0.004,0.002,0.012377117,0.022,0.02,0.067516471,0.867,0.096,0.863,0.045,0.538,0.084,0.507472976,3,18.33333333,2,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090-1093."
Network_148.graphml,ant mersch col4 day26,Insecta,Camponotus,fellah,physical_contact,A pair of ants was considered to interact when the front end of one ant was located within the trapezoidal shape representing the other ant.,frequency,"University of Lausanne, Laussane, Switzerland",captive,video,1day,0.5 sec,24 hours,"body size, age, social group, number of interactions/visits",TRUE,1,55,1240,0.835,53,45.091,6.168,0.137,-1.475,365.855,125.563,0.343,8.114,8.522,1.05,622,-0.069,0.003,0.001,0.005463812,0.021,0.019,0.084481146,0.867,0.071,0.863,0.046,0.488,0.094,0.558063391,2,27.5,2,"Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. ""Tracking individuals shows spatial fidelity is a key regulator of ant social organization.""Science 340.6136 (2013): 1090-1093."
