graphfile,Species,Class,Population type,Geographical Location,Data collection technique,Interaction type,Definition of interaction,Edge weight type,Total duration of data collection,Time resolution of data collection,Number of nodes,Number of edges,Network density,Average degree,Highest degree,CV degree,Skewness,Node strength (average),Node strength (standard deviation),Edge strength (average),Edge strength (standard deviation),Degree assortativity,Betweenness centrality (average),Betweenness centrality (standard deviation),Weighted betweeness centrality (average),Weighted betweenness centrality (standard deviation),Clustering coefficient (average),Weighted clustering coefficient (average),Transitivity,Newman modularity (Q),Maximum modularity (Qmax),Relative modularity (Qrel),Network cohesion,Number of modules,Average module size,Note,Citation
weighted_ant_mersch_colony4_day02.graphml,Camponotus fellah,Insecta,captive,"University of Lausanne, Laussane, Switzerland",video,physical contact,A pair of ants was considered to interact when the front end of one ant was located within the trapezoidal shape representing the other ant.,frequency,1day,0.5 sec,102,4149,0.805,81.353,99,0.148,-1.666,539.863,194.54,6.636,6.652,-0.045,0.002,0.001,0.01,0.007,0.848,0.055,0.843,0.063,0.5,0.126,0.5630268283729851,2,51.0,"Networks represent six separate colonies of the ant. The authors recorded the position and orientation of all
individuals twice per second to reconstruct spatial
movement and infer all social interactions
occurring over the 41 days of the experiment.","Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. <br> ""Tracking individuals shows spatial fidelity is a <br> key regulator of ant social organization.""Science 340.6136 <br> (2013): 1090-1093."
weighted_ant_mersch_colony4_day03.graphml,Camponotus fellah,Insecta,captive,"University of Lausanne, Laussane, Switzerland",video,physical contact,A pair of ants was considered to interact when the front end of one ant was located within the trapezoidal shape representing the other ant.,frequency,1day,0.5 sec,102,4055,0.787,79.51,99,0.16,-2.055,482.51,178.793,6.069,6.059,-0.01,0.002,0.001,0.009,0.007,0.838,0.065,0.833,0.075,0.499,0.15,0.5755842772274298,2,51.0,"Networks represent six separate colonies of the ant. The authors recorded the position and orientation of all
individuals twice per second to reconstruct spatial
movement and infer all social interactions
occurring over the 41 days of the experiment.","Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. <br> ""Tracking individuals shows spatial fidelity is a <br> key regulator of ant social organization.""Science 340.6136 <br> (2013): 1090-1093."
weighted_ant_mersch_colony4_day04.graphml,Camponotus fellah,Insecta,captive,"University of Lausanne, Laussane, Switzerland",video,physical contact,A pair of ants was considered to interact when the front end of one ant was located within the trapezoidal shape representing the other ant.,frequency,1day,0.5 sec,102,3754,0.729,73.608,97,0.206,-2.223,467.039,172.125,6.345,6.803,0.069,0.003,0.002,0.01,0.006,0.812,0.047,0.805,0.092,0.477,0.193,0.6153423221261116,2,51.0,"Networks represent six separate colonies of the ant. The authors recorded the position and orientation of all
individuals twice per second to reconstruct spatial
movement and infer all social interactions
occurring over the 41 days of the experiment.","Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. <br> ""Tracking individuals shows spatial fidelity is a <br> key regulator of ant social organization.""Science 340.6136 <br> (2013): 1090-1093."
weighted_ant_mersch_colony4_day05.graphml,Camponotus fellah,Insecta,captive,"University of Lausanne, Laussane, Switzerland",video,physical contact,A pair of ants was considered to interact when the front end of one ant was located within the trapezoidal shape representing the other ant.,frequency,1day,0.5 sec,102,3929,0.763,77.039,97,0.191,-2.169,484.294,198.771,6.286,5.892,0.047,0.002,0.001,0.01,0.008,0.832,0.089,0.827,0.075,0.493,0.152,0.5823381027536599,2,51.0,"Networks represent six separate colonies of the ant. The authors recorded the position and orientation of all
individuals twice per second to reconstruct spatial
movement and infer all social interactions
occurring over the 41 days of the experiment.","Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. <br> ""Tracking individuals shows spatial fidelity is a <br> key regulator of ant social organization.""Science 340.6136 <br> (2013): 1090-1093."
weighted_ant_mersch_colony4_day06.graphml,Camponotus fellah,Insecta,captive,"University of Lausanne, Laussane, Switzerland",video,physical contact,A pair of ants was considered to interact when the front end of one ant was located within the trapezoidal shape representing the other ant.,frequency,1day,0.5 sec,102,3903,0.758,76.529,96,0.204,-2.158,498.078,209.105,6.508,6.349,0.048,0.002,0.002,0.01,0.008,0.839,0.078,0.833,0.084,0.492,0.171,0.5921118202275749,2,51.0,"Networks represent six separate colonies of the ant. The authors recorded the position and orientation of all
individuals twice per second to reconstruct spatial
movement and infer all social interactions
occurring over the 41 days of the experiment.","Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. <br> ""Tracking individuals shows spatial fidelity is a <br> key regulator of ant social organization.""Science 340.6136 <br> (2013): 1090-1093."
weighted_ant_mersch_colony4_day07.graphml,Camponotus fellah,Insecta,captive,"University of Lausanne, Laussane, Switzerland",video,physical contact,A pair of ants was considered to interact when the front end of one ant was located within the trapezoidal shape representing the other ant.,frequency,1day,0.5 sec,102,3797,0.737,74.451,97,0.213,-1.955,491.843,204.532,6.606,6.853,0.039,0.003,0.002,0.01,0.007,0.82,0.033,0.815,0.082,0.5,0.164,0.581511566628505,2,51.0,"Networks represent six separate colonies of the ant. The authors recorded the position and orientation of all
individuals twice per second to reconstruct spatial
movement and infer all social interactions
occurring over the 41 days of the experiment.","Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. <br> ""Tracking individuals shows spatial fidelity is a <br> key regulator of ant social organization.""Science 340.6136 <br> (2013): 1090-1093."
weighted_ant_mersch_colony4_day08.graphml,Camponotus fellah,Insecta,captive,"University of Lausanne, Laussane, Switzerland",video,physical contact,A pair of ants was considered to interact when the front end of one ant was located within the trapezoidal shape representing the other ant.,frequency,1day,0.5 sec,102,3857,0.749,75.627,97,0.191,-1.554,486.353,199.06,6.431,6.578,-0.007,0.003,0.001,0.009,0.007,0.818,0.067,0.811,0.084,0.499,0.168,0.5854325810083908,2,51.0,"Networks represent six separate colonies of the ant. The authors recorded the position and orientation of all
individuals twice per second to reconstruct spatial
movement and infer all social interactions
occurring over the 41 days of the experiment.","Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. <br> ""Tracking individuals shows spatial fidelity is a <br> key regulator of ant social organization.""Science 340.6136 <br> (2013): 1090-1093."
weighted_ant_mersch_colony4_day09.graphml,Camponotus fellah,Insecta,captive,"University of Lausanne, Laussane, Switzerland",video,physical contact,A pair of ants was considered to interact when the front end of one ant was located within the trapezoidal shape representing the other ant.,frequency,1day,0.5 sec,102,3988,0.774,78.196,98,0.197,-1.749,636.255,281.677,8.137,8.512,0.013,0.002,0.001,0.011,0.009,0.848,0.061,0.843,0.074,0.5,0.148,0.5737217389385546,2,51.0,"Networks represent six separate colonies of the ant. The authors recorded the position and orientation of all
individuals twice per second to reconstruct spatial
movement and infer all social interactions
occurring over the 41 days of the experiment.","Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. <br> ""Tracking individuals shows spatial fidelity is a <br> key regulator of ant social organization.""Science 340.6136 <br> (2013): 1090-1093."
weighted_ant_mersch_colony4_day10.graphml,Camponotus fellah,Insecta,captive,"University of Lausanne, Laussane, Switzerland",video,physical contact,A pair of ants was considered to interact when the front end of one ant was located within the trapezoidal shape representing the other ant.,frequency,1day,0.5 sec,102,4036,0.784,79.137,99,0.181,-1.881,569.608,232.123,7.198,7.305,-0.015,0.002,0.001,0.01,0.009,0.845,0.058,0.839,0.067,0.5,0.134,0.5673952864565718,2,51.0,"Networks represent six separate colonies of the ant. The authors recorded the position and orientation of all
individuals twice per second to reconstruct spatial
movement and infer all social interactions
occurring over the 41 days of the experiment.","Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. <br> ""Tracking individuals shows spatial fidelity is a <br> key regulator of ant social organization.""Science 340.6136 <br> (2013): 1090-1093."
weighted_ant_mersch_colony4_day11.graphml,Camponotus fellah,Insecta,captive,"University of Lausanne, Laussane, Switzerland",video,physical contact,A pair of ants was considered to interact when the front end of one ant was located within the trapezoidal shape representing the other ant.,frequency,1day,0.5 sec,102,3592,0.697,70.431,98,0.205,-0.707,499.784,223.877,7.096,7.624,-0.046,0.003,0.002,0.01,0.007,0.773,0.041,0.763,0.097,0.496,0.196,0.6013394836999416,2,51.0,"Networks represent six separate colonies of the ant. The authors recorded the position and orientation of all
individuals twice per second to reconstruct spatial
movement and infer all social interactions
occurring over the 41 days of the experiment.","Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. <br> ""Tracking individuals shows spatial fidelity is a <br> key regulator of ant social organization.""Science 340.6136 <br> (2013): 1090-1093."
weighted_ant_mersch_colony4_day12.graphml,Camponotus fellah,Insecta,captive,"University of Lausanne, Laussane, Switzerland",video,physical contact,A pair of ants was considered to interact when the front end of one ant was located within the trapezoidal shape representing the other ant.,frequency,1day,0.5 sec,73,2067,0.787,56.63,70,0.18,-2.601,406.548,157.305,7.179,7.538,-0.019,0.003,0.002,0.014,0.012,0.843,0.061,0.839,0.059,0.624,0.095,0.4344471079997774,3,24.333333333333332,"Networks represent six separate colonies of the ant. The authors recorded the position and orientation of all
individuals twice per second to reconstruct spatial
movement and infer all social interactions
occurring over the 41 days of the experiment.","Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. <br> ""Tracking individuals shows spatial fidelity is a <br> key regulator of ant social organization.""Science 340.6136 <br> (2013): 1090-1093."
weighted_ant_mersch_colony4_day13.graphml,Camponotus fellah,Insecta,captive,"University of Lausanne, Laussane, Switzerland",video,physical contact,A pair of ants was considered to interact when the front end of one ant was located within the trapezoidal shape representing the other ant.,frequency,1day,0.5 sec,73,2119,0.806,58.055,70,0.172,-2.797,388.986,147.927,6.7,7.445,-0.013,0.003,0.002,0.013,0.011,0.856,0.042,0.853,0.048,0.489,0.098,0.5592240707029117,2,36.5,"Networks represent six separate colonies of the ant. The authors recorded the position and orientation of all
individuals twice per second to reconstruct spatial
movement and infer all social interactions
occurring over the 41 days of the experiment.","Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. <br> ""Tracking individuals shows spatial fidelity is a <br> key regulator of ant social organization.""Science 340.6136 <br> (2013): 1090-1093."
weighted_ant_mersch_colony4_day14.graphml,Camponotus fellah,Insecta,captive,"University of Lausanne, Laussane, Switzerland",video,physical contact,A pair of ants was considered to interact when the front end of one ant was located within the trapezoidal shape representing the other ant.,frequency,1day,0.5 sec,73,2107,0.802,57.726,71,0.166,-3.036,416.137,162.422,7.209,8.001,-0.026,0.003,0.002,0.014,0.013,0.845,0.044,0.846,0.051,0.473,0.108,0.5780733640594988,2,36.5,"Networks represent six separate colonies of the ant. The authors recorded the position and orientation of all
individuals twice per second to reconstruct spatial
movement and infer all social interactions
occurring over the 41 days of the experiment.","Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. <br> ""Tracking individuals shows spatial fidelity is a <br> key regulator of ant social organization.""Science 340.6136 <br> (2013): 1090-1093."
weighted_ant_mersch_colony4_day15.graphml,Camponotus fellah,Insecta,captive,"University of Lausanne, Laussane, Switzerland",video,physical contact,A pair of ants was considered to interact when the front end of one ant was located within the trapezoidal shape representing the other ant.,frequency,1day,0.5 sec,73,2144,0.816,58.74,70,0.164,-3.22,414.822,164.154,7.062,7.571,-0.023,0.003,0.002,0.014,0.012,0.863,0.055,0.859,0.048,0.488,0.098,0.5601652977364845,2,36.5,"Networks represent six separate colonies of the ant. The authors recorded the position and orientation of all
individuals twice per second to reconstruct spatial
movement and infer all social interactions
occurring over the 41 days of the experiment.","Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. <br> ""Tracking individuals shows spatial fidelity is a <br> key regulator of ant social organization.""Science 340.6136 <br> (2013): 1090-1093."
weighted_ant_mersch_colony4_day16.graphml,Camponotus fellah,Insecta,captive,"University of Lausanne, Laussane, Switzerland",video,physical contact,A pair of ants was considered to interact when the front end of one ant was located within the trapezoidal shape representing the other ant.,frequency,1day,0.5 sec,73,2095,0.797,57.397,70,0.174,-2.378,409.863,158.169,7.141,7.616,-0.062,0.003,0.002,0.015,0.015,0.853,0.074,0.846,0.063,0.498,0.127,0.5651576940325028,2,36.5,"Networks represent six separate colonies of the ant. The authors recorded the position and orientation of all
individuals twice per second to reconstruct spatial
movement and infer all social interactions
occurring over the 41 days of the experiment.","Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. <br> ""Tracking individuals shows spatial fidelity is a <br> key regulator of ant social organization.""Science 340.6136 <br> (2013): 1090-1093."
weighted_ant_mersch_colony4_day17.graphml,Camponotus fellah,Insecta,captive,"University of Lausanne, Laussane, Switzerland",video,physical contact,A pair of ants was considered to interact when the front end of one ant was located within the trapezoidal shape representing the other ant.,frequency,1day,0.5 sec,73,2089,0.795,57.233,69,0.162,-2.576,383.041,140.327,6.693,7.059,-0.014,0.003,0.001,0.013,0.011,0.841,0.083,0.837,0.057,0.483,0.118,0.5734788986811661,2,36.5,"Networks represent six separate colonies of the ant. The authors recorded the position and orientation of all
individuals twice per second to reconstruct spatial
movement and infer all social interactions
occurring over the 41 days of the experiment.","Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. <br> ""Tracking individuals shows spatial fidelity is a <br> key regulator of ant social organization.""Science 340.6136 <br> (2013): 1090-1093."
weighted_ant_mersch_colony4_day18.graphml,Camponotus fellah,Insecta,captive,"University of Lausanne, Laussane, Switzerland",video,physical contact,A pair of ants was considered to interact when the front end of one ant was located within the trapezoidal shape representing the other ant.,frequency,1day,0.5 sec,73,2022,0.769,55.397,68,0.21,-2.377,406.548,162.476,7.339,7.589,0.053,0.003,0.003,0.015,0.014,0.851,0.075,0.846,0.07,0.481,0.146,0.5890235389335411,2,36.5,"Networks represent six separate colonies of the ant. The authors recorded the position and orientation of all
individuals twice per second to reconstruct spatial
movement and infer all social interactions
occurring over the 41 days of the experiment.","Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. <br> ""Tracking individuals shows spatial fidelity is a <br> key regulator of ant social organization.""Science 340.6136 <br> (2013): 1090-1093."
weighted_ant_mersch_colony4_day19.graphml,Camponotus fellah,Insecta,captive,"University of Lausanne, Laussane, Switzerland",video,physical contact,A pair of ants was considered to interact when the front end of one ant was located within the trapezoidal shape representing the other ant.,frequency,1day,0.5 sec,73,2041,0.777,55.918,68,0.192,-2.195,406.575,150.299,7.271,7.472,-0.006,0.003,0.002,0.014,0.012,0.84,0.082,0.836,0.053,0.459,0.115,0.5933345647516153,2,36.5,"Networks represent six separate colonies of the ant. The authors recorded the position and orientation of all
individuals twice per second to reconstruct spatial
movement and infer all social interactions
occurring over the 41 days of the experiment.","Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. <br> ""Tracking individuals shows spatial fidelity is a <br> key regulator of ant social organization.""Science 340.6136 <br> (2013): 1090-1093."
weighted_ant_mersch_colony4_day20.graphml,Camponotus fellah,Insecta,captive,"University of Lausanne, Laussane, Switzerland",video,physical contact,A pair of ants was considered to interact when the front end of one ant was located within the trapezoidal shape representing the other ant.,frequency,1day,0.5 sec,73,2184,0.831,59.836,70,0.141,-3.03,422.329,141.785,7.058,6.935,-0.013,0.002,0.001,0.014,0.012,0.867,0.07,0.864,0.048,0.497,0.097,0.5508206449226059,2,36.5,"Networks represent six separate colonies of the ant. The authors recorded the position and orientation of all
individuals twice per second to reconstruct spatial
movement and infer all social interactions
occurring over the 41 days of the experiment.","Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. <br> ""Tracking individuals shows spatial fidelity is a <br> key regulator of ant social organization.""Science 340.6136 <br> (2013): 1090-1093."
weighted_ant_mersch_colony4_day21.graphml,Camponotus fellah,Insecta,captive,"University of Lausanne, Laussane, Switzerland",video,physical contact,A pair of ants was considered to interact when the front end of one ant was located within the trapezoidal shape representing the other ant.,frequency,1day,0.5 sec,73,2120,0.807,58.082,69,0.163,-2.205,432.411,163.717,7.445,7.61,-0.038,0.003,0.001,0.015,0.014,0.854,0.077,0.849,0.055,0.496,0.111,0.5584924101164486,2,36.5,"Networks represent six separate colonies of the ant. The authors recorded the position and orientation of all
individuals twice per second to reconstruct spatial
movement and infer all social interactions
occurring over the 41 days of the experiment.","Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. <br> ""Tracking individuals shows spatial fidelity is a <br> key regulator of ant social organization.""Science 340.6136 <br> (2013): 1090-1093."
weighted_ant_mersch_colony4_day22.graphml,Camponotus fellah,Insecta,captive,"University of Lausanne, Laussane, Switzerland",video,physical contact,A pair of ants was considered to interact when the front end of one ant was located within the trapezoidal shape representing the other ant.,frequency,1day,0.5 sec,55,1234,0.831,44.873,54,0.17,-3.066,371.2,132.702,8.272,8.581,-0.075,0.003,0.002,0.022,0.026,0.882,0.056,0.876,0.035,0.604,0.058,0.4319260620377105,3,18.333333333333332,"Networks represent six separate colonies of the ant. The authors recorded the position and orientation of all
individuals twice per second to reconstruct spatial
movement and infer all social interactions
occurring over the 41 days of the experiment.","Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. <br> ""Tracking individuals shows spatial fidelity is a <br> key regulator of ant social organization.""Science 340.6136 <br> (2013): 1090-1093."
weighted_ant_mersch_colony4_day23.graphml,Camponotus fellah,Insecta,captive,"University of Lausanne, Laussane, Switzerland",video,physical contact,A pair of ants was considered to interact when the front end of one ant was located within the trapezoidal shape representing the other ant.,frequency,1day,0.5 sec,55,1228,0.827,44.655,52,0.178,-3.108,329.891,120.624,7.388,7.276,-0.071,0.003,0.003,0.02,0.017,0.882,0.087,0.877,0.04,0.492,0.081,0.5472257000641281,2,27.5,"Networks represent six separate colonies of the ant. The authors recorded the position and orientation of all
individuals twice per second to reconstruct spatial
movement and infer all social interactions
occurring over the 41 days of the experiment.","Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. <br> ""Tracking individuals shows spatial fidelity is a <br> key regulator of ant social organization.""Science 340.6136 <br> (2013): 1090-1093."
weighted_ant_mersch_colony4_day24.graphml,Camponotus fellah,Insecta,captive,"University of Lausanne, Laussane, Switzerland",video,physical contact,A pair of ants was considered to interact when the front end of one ant was located within the trapezoidal shape representing the other ant.,frequency,1day,0.5 sec,55,1167,0.786,42.436,51,0.215,-3.032,348.218,135.671,8.206,8.854,-0.04,0.004,0.005,0.022,0.024,0.868,0.074,0.86,0.06,0.49,0.122,0.5698420723399515,2,27.5,"Networks represent six separate colonies of the ant. The authors recorded the position and orientation of all
individuals twice per second to reconstruct spatial
movement and infer all social interactions
occurring over the 41 days of the experiment.","Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. <br> ""Tracking individuals shows spatial fidelity is a <br> key regulator of ant social organization.""Science 340.6136 <br> (2013): 1090-1093."
weighted_ant_mersch_colony4_day25.graphml,Camponotus fellah,Insecta,captive,"University of Lausanne, Laussane, Switzerland",video,physical contact,A pair of ants was considered to interact when the front end of one ant was located within the trapezoidal shape representing the other ant.,frequency,1day,0.5 sec,55,1204,0.811,43.782,52,0.185,-2.563,362.436,140.287,8.278,8.404,-0.064,0.004,0.002,0.022,0.02,0.867,0.096,0.863,0.045,0.538,0.084,0.5074729756105665,3,18.333333333333332,"Networks represent six separate colonies of the ant. The authors recorded the position and orientation of all
individuals twice per second to reconstruct spatial
movement and infer all social interactions
occurring over the 41 days of the experiment.","Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. <br> ""Tracking individuals shows spatial fidelity is a <br> key regulator of ant social organization.""Science 340.6136 <br> (2013): 1090-1093."
weighted_ant_mersch_colony4_day26.graphml,Camponotus fellah,Insecta,captive,"University of Lausanne, Laussane, Switzerland",video,physical contact,A pair of ants was considered to interact when the front end of one ant was located within the trapezoidal shape representing the other ant.,frequency,1day,0.5 sec,55,1240,0.835,45.091,53,0.137,-1.475,365.855,125.563,8.114,8.522,-0.069,0.003,0.001,0.021,0.019,0.867,0.071,0.863,0.046,0.488,0.094,0.5580633910012278,2,27.5,"Networks represent six separate colonies of the ant. The authors recorded the position and orientation of all
individuals twice per second to reconstruct spatial
movement and infer all social interactions
occurring over the 41 days of the experiment.","Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. <br> ""Tracking individuals shows spatial fidelity is a <br> key regulator of ant social organization.""Science 340.6136 <br> (2013): 1090-1093."
weighted_ant_mersch_colony4_day27.graphml,Camponotus fellah,Insecta,captive,"University of Lausanne, Laussane, Switzerland",video,physical contact,A pair of ants was considered to interact when the front end of one ant was located within the trapezoidal shape representing the other ant.,frequency,1day,0.5 sec,55,1266,0.853,46.036,54,0.12,-1.573,344.255,122.741,7.478,8.118,-0.042,0.003,0.001,0.019,0.019,0.877,0.074,0.876,0.046,0.494,0.093,0.5521370626940181,2,27.5,"Networks represent six separate colonies of the ant. The authors recorded the position and orientation of all
individuals twice per second to reconstruct spatial
movement and infer all social interactions
occurring over the 41 days of the experiment.","Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. <br> ""Tracking individuals shows spatial fidelity is a <br> key regulator of ant social organization.""Science 340.6136 <br> (2013): 1090-1093."
weighted_ant_mersch_colony4_day28.graphml,Camponotus fellah,Insecta,captive,"University of Lausanne, Laussane, Switzerland",video,physical contact,A pair of ants was considered to interact when the front end of one ant was located within the trapezoidal shape representing the other ant.,frequency,1day,0.5 sec,55,1276,0.859,46.4,54,0.119,-1.489,379.636,132.775,8.182,8.319,-0.07,0.003,0.001,0.02,0.017,0.885,0.1,0.882,0.048,0.498,0.096,0.5493730407523512,2,27.5,"Networks represent six separate colonies of the ant. The authors recorded the position and orientation of all
individuals twice per second to reconstruct spatial
movement and infer all social interactions
occurring over the 41 days of the experiment.","Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. <br> ""Tracking individuals shows spatial fidelity is a <br> key regulator of ant social organization.""Science 340.6136 <br> (2013): 1090-1093."
weighted_ant_mersch_colony4_day29.graphml,Camponotus fellah,Insecta,captive,"University of Lausanne, Laussane, Switzerland",video,physical contact,A pair of ants was considered to interact when the front end of one ant was located within the trapezoidal shape representing the other ant.,frequency,1day,0.5 sec,55,1272,0.857,46.255,54,0.125,-1.982,384.582,134.293,8.314,8.519,-0.059,0.003,0.001,0.022,0.026,0.885,0.092,0.882,0.047,0.484,0.097,0.5636737060366939,2,27.5,"Networks represent six separate colonies of the ant. The authors recorded the position and orientation of all
individuals twice per second to reconstruct spatial
movement and infer all social interactions
occurring over the 41 days of the experiment.","Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. <br> ""Tracking individuals shows spatial fidelity is a <br> key regulator of ant social organization.""Science 340.6136 <br> (2013): 1090-1093."
weighted_ant_mersch_colony4_day30.graphml,Camponotus fellah,Insecta,captive,"University of Lausanne, Laussane, Switzerland",video,physical contact,A pair of ants was considered to interact when the front end of one ant was located within the trapezoidal shape representing the other ant.,frequency,1day,0.5 sec,55,1252,0.843,45.527,54,0.142,-1.816,394.073,173.564,8.656,10.112,-0.015,0.003,0.001,0.021,0.028,0.878,0.057,0.877,0.048,0.493,0.097,0.5551151464565482,2,27.5,"Networks represent six separate colonies of the ant. The authors recorded the position and orientation of all
individuals twice per second to reconstruct spatial
movement and infer all social interactions
occurring over the 41 days of the experiment.","Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. <br> ""Tracking individuals shows spatial fidelity is a <br> key regulator of ant social organization.""Science 340.6136 <br> (2013): 1090-1093."
weighted_ant_mersch_colony4_day31.graphml,Camponotus fellah,Insecta,captive,"University of Lausanne, Laussane, Switzerland",video,physical contact,A pair of ants was considered to interact when the front end of one ant was located within the trapezoidal shape representing the other ant.,frequency,1day,0.5 sec,55,1221,0.822,44.4,53,0.177,-2.464,330.182,121.143,7.437,7.788,-0.057,0.003,0.002,0.02,0.02,0.876,0.07,0.872,0.049,0.486,0.101,0.5626535626535626,2,27.5,"Networks represent six separate colonies of the ant. The authors recorded the position and orientation of all
individuals twice per second to reconstruct spatial
movement and infer all social interactions
occurring over the 41 days of the experiment.","Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. <br> ""Tracking individuals shows spatial fidelity is a <br> key regulator of ant social organization.""Science 340.6136 <br> (2013): 1090-1093."
weighted_ant_mersch_colony4_day32.graphml,Camponotus fellah,Insecta,captive,"University of Lausanne, Laussane, Switzerland",video,physical contact,A pair of ants was considered to interact when the front end of one ant was located within the trapezoidal shape representing the other ant.,frequency,1day,0.5 sec,35,497,0.835,28.4,33,0.143,-1.018,228.8,96.588,8.056,8.527,-0.123,0.005,0.002,0.032,0.039,0.866,0.077,0.86,0.028,0.657,0.043,0.3702213279678069,3,11.666666666666666,"Networks represent six separate colonies of the ant. The authors recorded the position and orientation of all
individuals twice per second to reconstruct spatial
movement and infer all social interactions
occurring over the 41 days of the experiment.","Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. <br> ""Tracking individuals shows spatial fidelity is a <br> key regulator of ant social organization.""Science 340.6136 <br> (2013): 1090-1093."
weighted_ant_mersch_colony4_day33.graphml,Camponotus fellah,Insecta,captive,"University of Lausanne, Laussane, Switzerland",video,physical contact,A pair of ants was considered to interact when the front end of one ant was located within the trapezoidal shape representing the other ant.,frequency,1day,0.5 sec,35,490,0.824,28.0,34,0.133,-0.978,243.543,103.514,8.698,9.271,-0.076,0.005,0.002,0.034,0.037,0.85,0.087,0.846,0.054,0.499,0.108,0.5551020408163265,2,17.5,"Networks represent six separate colonies of the ant. The authors recorded the position and orientation of all
individuals twice per second to reconstruct spatial
movement and infer all social interactions
occurring over the 41 days of the experiment.","Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. <br> ""Tracking individuals shows spatial fidelity is a <br> key regulator of ant social organization.""Science 340.6136 <br> (2013): 1090-1093."
weighted_ant_mersch_colony4_day34.graphml,Camponotus fellah,Insecta,captive,"University of Lausanne, Laussane, Switzerland",video,physical contact,A pair of ants was considered to interact when the front end of one ant was located within the trapezoidal shape representing the other ant.,frequency,1day,0.5 sec,35,505,0.849,28.857,33,0.193,-3.45,247.486,99.329,8.576,8.019,-0.078,0.005,0.005,0.036,0.046,0.913,0.123,0.908,0.018,0.598,0.03,0.4198040584359328,3,11.666666666666666,"Networks represent six separate colonies of the ant. The authors recorded the position and orientation of all
individuals twice per second to reconstruct spatial
movement and infer all social interactions
occurring over the 41 days of the experiment.","Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. <br> ""Tracking individuals shows spatial fidelity is a <br> key regulator of ant social organization.""Science 340.6136 <br> (2013): 1090-1093."
weighted_ant_mersch_colony4_day35.graphml,Camponotus fellah,Insecta,captive,"University of Lausanne, Laussane, Switzerland",video,physical contact,A pair of ants was considered to interact when the front end of one ant was located within the trapezoidal shape representing the other ant.,frequency,1day,0.5 sec,35,501,0.842,28.629,33,0.188,-2.783,258.057,105.584,9.014,8.754,-0.045,0.005,0.003,0.036,0.049,0.9,0.119,0.899,0.031,0.632,0.049,0.39919562082403953,3,11.666666666666666,"Networks represent six separate colonies of the ant. The authors recorded the position and orientation of all
individuals twice per second to reconstruct spatial
movement and infer all social interactions
occurring over the 41 days of the experiment.","Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. <br> ""Tracking individuals shows spatial fidelity is a <br> key regulator of ant social organization.""Science 340.6136 <br> (2013): 1090-1093."
weighted_ant_mersch_colony4_day36.graphml,Camponotus fellah,Insecta,captive,"University of Lausanne, Laussane, Switzerland",video,physical contact,A pair of ants was considered to interact when the front end of one ant was located within the trapezoidal shape representing the other ant.,frequency,1day,0.5 sec,35,488,0.82,27.886,33,0.161,-1.424,240.114,93.696,8.611,8.418,-0.036,0.005,0.003,0.036,0.04,0.867,0.119,0.864,0.063,0.483,0.13,0.5799120910646407,2,17.5,"Networks represent six separate colonies of the ant. The authors recorded the position and orientation of all
individuals twice per second to reconstruct spatial
movement and infer all social interactions
occurring over the 41 days of the experiment.","Mersch, Danielle P., Alessandro Crespi, and Laurent Keller. <br> ""Tracking individuals shows spatial fidelity is a <br> key regulator of ant social organization.""Science 340.6136 <br> (2013): 1090-1093."
